document_sentence_id,sentence_original,document_name,length,sentence_simplified
19,"Por el presente se llama, cita y emplaza á los parientes pobres mas cercanos de D. Manuel y Doña Polonía Moreno Diez, hermanos, difuntos, naturales de la villa de Villanueva de Cameros, y vecinos que fueron de esta corte, para que dentro de 30 dias, contados desde el 1.º del presente mes de octubre, comparezcan ante el Sr. D. Joaquin Almazan, del consejo de S. M., teniente corregidor de esta villa, y escribanía del número de D. Santiago de Estepar, por si ó por medio de procurador, á pedir la cuarta parte de bienes que quedaron por muerte de los referidos D. Manuel y Doña Polonia, segun su disposicion testamentaria; con apercibimiento que pasado no compareciendo, les parará el perjuicio que bara lugar.",../transcripciones/TXTs/Diario_de_Madrid_1-10-1816.txt,140,"Por medio de esta carta, se convoca y cita a los parientes más cercanos y pobres de D. Manuel y Doña Polonia Moreno Diez, quienes eran hermanos y fallecieron. Ellos eran naturales de la villa de Villanueva de Cameros y en su momento fueron vecinos de esta corte. Se les solicita que comparezcan en un plazo de 30 días, contados a partir del 1 de octubre de este mes, ante el Sr. D. Joaquín Almazán, miembro del consejo de S. M. y teniente corregidor de esta villa, en la escribanía número de D. Santiago de Estepa. Pueden comparecer personalmente o a través de un procurador para reclamar la cuarta parte de los bienes que quedaron tras la muerte de los mencionados D. Manuel y Doña Polonia, de acuerdo a lo establecido en su testamento. Se les advierte que, en caso de no comparecer pasado el plazo, sufrirán las consecuencias que correspondan."
20,"Hallándose establecidas las reales escuelas gratuitas para los niños y niñas pobres del barrio de la diputacion de las Niñas de Leganes, segun está prevenido por real órden de 21 de enero y demas posteriores resoluciones, se hace saber á fin de que los padres y parientes que tengan á su cargo niños ó niñas de la clase de pobres, puedan enviar á las dichas escuelas sus hijos é hijas, ó parientes, dirigiendo sus memoriales á la expres sada diputacion por medio del infrascripto secretario, que vive calle de Hortaleza, frente á la de la Reyna, cuarto 2.º, expresando los nombres, calle y casa de su habitacion.=De acuerdo de la misma diputacion.",../transcripciones/TXTs/Diario_de_Madrid_1-10-1816.txt,123,"Se informa que las escuelas gratuitas para los niños y niñas pobres del barrio de la diputación de las Niñas de Leganés están establecidas según lo previsto por una orden real del 21 de enero y otras resoluciones posteriores. Esto se comunica para que los padres y parientes que tengan a su cargo niños o niñas de la clase de pobres puedan enviar a sus hijos e hijas o parientes a dichas escuelas. Deben dirigir sus solicitudes a la mencionada diputación a través del secretario que vive en la calle de Hortaleza, frente a la de la Reina, cuarto 2º, indicando los nombres, la calle y la casa donde viven. Esto es de acuerdo con la misma diputación."
23,"De mi retiro he salido tan solo, Señor, por ver nsa deldad ó muger que del Brasil ha venido: 794 to logré; y á el cielo pido con todo mi corazon bendiga tan bella union, consuele nuestra esperanza con Isabel de Braganza y Fernando de Borbon.",../transcripciones/TXTs/Diario_de_Madrid_1-10-1816.txt,52,"He salido de mi retiro solo, Señor, para ver a una dama que ha venido de Brasil. Lo conseguí; y le pido al cielo con todo mi corazón que bendiga esta hermosa unión, que consuele nuestra esperanza con Isabel de Braganza y Fernando de Borbon."
25,"¿Con qué gusto y alegría los españoles miramos á estos jovenes que amamos por sú bondad sin igual, que nos alejan el mal, de quienes bien esperamos?",../transcripciones/TXTs/Diario_de_Madrid_1-10-1816.txt,31,"Con qué felicidad y alegría los españoles vemos a estos jóvenes que amamos por su bondad única, que nos protegen del mal y de quienes tenemos grandes esperanzas."
26,"El Serenísimo Señor nuestro Infante Don Antonio, aunque le pese al demonio, merece todo loor: nos hizo grande favor; y á las esposas con maña en carretela acompaña, y contento y muy gozoso entra en el pueblo dichoso de la capital de España.",../transcripciones/TXTs/Diario_de_Madrid_1-10-1816.txt,49,"El muy noble señor nuestro príncipe Don Antonio, a pesar del maligno, merece todo elogio: nos hizo un gran favor; y a las esposas con habilidad en carreta acompaña, y feliz y lleno de alegría entra en el pueblo afortunado de la capital de España."
27,"Un párroco entusiasmado por Fernando é Isabel, Cárlos, Maria, y aquel que es su Tio idolatrado, debe ser disimulado por aqueste atrevimiento; á quien su grande contento, su amor y mucha aficion á la Casa de Borbon, motivo tal pensamiento.",../transcripciones/TXTs/Diario_de_Madrid_1-10-1816.txt,48,"Un sacerdote emocionado por Fernando e Isabel, Carlos, María y aquel que es su tío idolatrado, debe ocultar este atrevimiento; a quien su gran felicidad, su amor y gran afinidad a la Casa de Borbón, motivo ese pensamiento."
30,"La persona á quien en el dia 29 de setiembre último le haya faltado un fanal grande, ó farol de cristal, acuda al repeso mayor de corte, en donde dando sus señas se le entregará.",../transcripciones/TXTs/Diario_de_Madrid_1-10-1816.txt,39,"Si alguien perdió un fanal grande o farol de cristal el día 29 de septiembre pasado, debe ir al repeso mayor de corte y proporcionar su información para que se le devuelva."
31,"quien quisiere tomar en arrendamiento, que deberá principiar en san Miguel de setiembre del año próximo de 1817, el coto redondo y heredamiento de Silillos en las inmediaciones de la villa de Valdetorres, distante como unas 6 leguas de esta corte, cuya posesion se compone de una crecida porcion de tierras con destino á pasto y labor, alameda, viñas y olivares, con todas las oficinas necesarias, acudirá á la contaduría del Excmo.",../transcripciones/TXTs/Diario_de_Madrid_1-10-1816.txt,81,"Quien desee arrendar el coto redondo y heredamiento de Silillos cerca de la villa de Valdetorres, deberá comenzar en septiembre del próximo año 1817. Este terreno consta de una gran cantidad de tierras destinadas a pasto y cultivo, así como alamedas, viñedos y olivares, junto con todas las instalaciones necesarias. Para obtener más información, deben acudir a la contaduría del Excmo."
32,"Sr. duque de Granada de Ega, á quien pertenece, á enterarse de las condiciones para el arriendo; en inteligencia de que se ha de celebrar el remate el dia 9 del presente octubre, de doce á una, en dicha contaduría.",../transcripciones/TXTs/Diario_de_Madrid_1-10-1816.txt,46,"El señor duque de Granada de Ega, al cual le corresponde, debe informarse sobre las condiciones para el arriendo. Esta información es importante ya que se llevará a cabo una subasta el día 9 de octubre, de doce a una, en la mencionada oficina de contabilidad."
33,"Se desea saber el paradero de Doña Vitoria Duran, vecina de esta corte, ó en el caso de haber fallecido de sus herederos ó testamentarios, para comunicarles cierto asunto que les interesa.",../transcripciones/TXTs/Diario_de_Madrid_1-10-1816.txt,36,"Se busca saber dónde está Doña Vitoria Duran, quien vive en esta ciudad. En caso de que haya fallecido, se busca a sus herederos o a quienes tienen su testamento, para comunicarles un asunto que les importa."
